company,title,location,link
Super Scholar,Junior Data Analyst,"Delhi, India",https://in.linkedin.com/jobs/view/junior-data-analyst-at-super-scholar-3814384798?refId=4m6mhACEGQ6zixPwmEygFQ%3D%3D&trackingId=0cUWVv0imhD5txI5Je1hUw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
ZetaChain Inc,Junior Data Analyst,"Seattle, WA",https://www.linkedin.com/jobs/view/junior-data-analyst-at-zetachain-inc-3814547443?refId=4m6mhACEGQ6zixPwmEygFQ%3D%3D&trackingId=ECJUR%2FtBZ2jrNjCrseu69g%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
LTIMindtree,Data Analyst,"Irving, TX",https://www.linkedin.com/jobs/view/data-analyst-at-ltimindtree-3813559292?refId=4m6mhACEGQ6zixPwmEygFQ%3D%3D&trackingId=wxx5l23PfEXCJ90zn%2FmxJA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Renault Nissan Technology & Business Centre India,Data Analyst,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/data-analyst-at-renault-nissan-technology-business-centre-india-3810161539?refId=4m6mhACEGQ6zixPwmEygFQ%3D%3D&trackingId=LjHaj6v7ZG9mDEqbhuzuDw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Novo,Data Analyst,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst-at-novo-3814388987?refId=4m6mhACEGQ6zixPwmEygFQ%3D%3D&trackingId=uZLw9ZA33defFs01grL8aA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Beauty Pie,Senior Data Analyst,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/senior-data-analyst-at-beauty-pie-3781865176?refId=4m6mhACEGQ6zixPwmEygFQ%3D%3D&trackingId=rdR2X0J8c7%2Bzdcn6Y9yAMA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Avon,Data Analyst,"Makati, National Capital Region, Philippines",https://ph.linkedin.com/jobs/view/data-analyst-at-avon-3812827982?refId=4m6mhACEGQ6zixPwmEygFQ%3D%3D&trackingId=iiwTEnPyQvpOqCCNWBM7%2FQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Birlasoft,Data Analyst,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-birlasoft-3813200217?refId=4m6mhACEGQ6zixPwmEygFQ%3D%3D&trackingId=VNQ5P3FjHBWMd8oJb8twug%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
The Home Depot,Data Analyst,"Atlanta, GA",https://www.linkedin.com/jobs/view/data-analyst-at-the-home-depot-3814300931?refId=4m6mhACEGQ6zixPwmEygFQ%3D%3D&trackingId=9D1A4pxvt%2B%2BQHr5XGi4vCQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Twenty First Group,Data Analyst,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-twenty-first-group-3810598894?refId=4m6mhACEGQ6zixPwmEygFQ%3D%3D&trackingId=wtNQ5ksfmVvoFrbhKzBVwg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
